File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Poly.v;SimpleTypeIntersection;;;396;23;rewrite ->;IHl';0;IHl';test_rev2;test_repeat1;test_repeat2;test_rev1;test_length1;list_rect;list_ind;list_rec;list_sind
./Poly.v;SimpleTypeIntersection;;;396;24;rewrite ->;IHl';1;I;IHl';IDProp;ID;IsSucc;injective_projections;inhabited;iff;idProp;id
./Poly.v;SimpleTypeIntersection;;;396;25;rewrite ->;IHl';0;IHl';inhabited;inhabited_covariant;inhabited_sind;inhabited_ind;inhabits;inhabited_sig_to_exists;Number.IntHexadecimal;inright;eq_ex_intro_hprop
./Poly.v;SimpleTypeIntersection;;;396;26;rewrite ->;IHl';0;IHl';Number.IntHexadecimal;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.internal_hexadecimal_dec_bl;;;;;;
./Poly.v;SimpleTypeIntersection;;;396;27;rewrite ->;IHl';0;IHl';;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;406;23;rewrite ->;IHl1';0;IHl1';test_rev2;app_nil_r;test_repeat1;test_repeat2;test_rev1;l1';l2;l3;test_length1
./Poly.v;SimpleTypeIntersection;;;406;24;rewrite ->;IHl1';1;I;IHl1';IDProp;ID;IsSucc;injective_projections;inhabited;iff;idProp;id
./Poly.v;SimpleTypeIntersection;;;406;25;rewrite ->;IHl1';0;IHl1';inhabited;inhabited_covariant;inhabited_sind;inhabited_ind;inhabits;inhabited_sig_to_exists;Number.IntHexadecimal;inright;eq_ex_intro_hprop
./Poly.v;SimpleTypeIntersection;;;406;26;rewrite ->;IHl1';0;IHl1';Number.IntHexadecimal;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.internal_hexadecimal_dec_bl;;;;;;
./Poly.v;SimpleTypeIntersection;;;406;27;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;406;28;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;415;23;rewrite ->;IHl1';0;IHl1';test_length1;plus_Sn_m;plus_n_Sm;mult_n_Sm;plus_O_n;plus_n_O;n_Sn;O_S;pred_Sn
./Poly.v;SimpleTypeIntersection;;;415;24;rewrite ->;IHl1';1;I;IHl1';IsSucc;IDProp;ID;injective_projections;inhabited;iff;idProp;id
./Poly.v;SimpleTypeIntersection;;;415;25;rewrite ->;IHl1';0;IHl1';inhabited;inhabited_covariant;inhabited_sind;inhabited_ind;inhabits;inhabited_sig_to_exists;Number.IntHexadecimal;inright;eq_ex_intro_hprop
./Poly.v;SimpleTypeIntersection;;;415;26;rewrite ->;IHl1';0;IHl1';Number.IntHexadecimal;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.internal_hexadecimal_dec_bl;;;;;;
./Poly.v;SimpleTypeIntersection;;;415;27;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;415;28;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;428;23;rewrite ->;app_nil_r;1;test_rev2;app_nil_r;test_rev1;test_repeat1;test_repeat2;app_assoc;app_length;l2;test_length1;list_rect
./Poly.v;SimpleTypeIntersection;;;428;24;rewrite ->;app_nil_r;0;app_nil_r;app_assoc;app_length;app;andb_true_intro;andb_prop;and;all;andb;absurd_set
./Poly.v;SimpleTypeIntersection;;;428;25;rewrite ->;app_nil_r;0;app_nil_r;app_assoc;app_length;app;andb_prop;Decimal.app;Decimal.app_int;Datatypes.app;and_iff_compat_r;and_iff_compat_l
./Poly.v;SimpleTypeIntersection;;;428;26;rewrite ->;app_nil_r;1;app;app_nil_r;app_assoc;app_length;andb_prop;Decimal.app;Decimal.app_int;Datatypes.app;Hexadecimal.app;Hexadecimal.app_int
./Poly.v;SimpleTypeIntersection;;;428;27;rewrite ->;app_nil_r;0;app_nil_r;app_assoc;app_length;Decimal.app_int;Hexadecimal.app_int;;;;;
./Poly.v;SimpleTypeIntersection;;;428;28;rewrite ->;app_nil_r;0;app_nil_r;app_length;Decimal.app_int;Hexadecimal.app_int;;;;;;
./Poly.v;SimpleTypeIntersection;;;428;29;rewrite ->;app_nil_r;0;app_nil_r;Decimal.app_int;Hexadecimal.app_int;;;;;;;
./Poly.v;SimpleTypeIntersection;;;428;30;rewrite ->;app_nil_r;0;app_nil_r;;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;428;31;rewrite ->;app_nil_r;0;app_nil_r;;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;428;32;rewrite ->;app_nil_r;0;app_nil_r;;;;;;;;;
./Poly.v;SimpleTypeIntersection;;;429;23;rewrite ->;IHl1;0;IHl1;test_rev2;test_rev1;app_nil_r;test_repeat1;test_repeat2;test_length1;app_assoc;list_rect;list_ind
./Poly.v;SimpleTypeIntersection;;;429;24;rewrite ->;IHl1;1;I;IHl1;IDProp;ID;IsSucc;injective_projections;inhabited;iff;idProp;id
