File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./point_orthocentre.v;SimpleTypeIntersection;0;0;0;9881
./point_orthocentre.v;SplitTypeIntersection;0;0;0;9874
./point_orthocentre.v;StructuredTypeEvaluation;1;1;0;9882
./point_orthocentre.v;StructuredTypeEvaluation;1;2;0;9879
./point_orthocentre.v;StructuredTypeEvaluation;1;5;0;9876
./point_orthocentre.v;StructuredTypeEvaluation;2;1;0;9880
./point_orthocentre.v;StructuredTypeEvaluation;2;2;0;9868
./point_orthocentre.v;StructuredTypeEvaluation;2;5;0;9879
./point_orthocentre.v;StructuredTypeEvaluation;5;1;0;9872
./point_orthocentre.v;StructuredTypeEvaluation;5;2;0;9877
./point_orthocentre.v;StructuredTypeEvaluation;5;5;0;9904
./point_orthocentre.v;StructuredUnification;1;1;0;9904
./point_orthocentre.v;StructuredUnification;1;2;0;9885
./point_orthocentre.v;StructuredUnification;1;5;0;9883
./point_orthocentre.v;StructuredUnification;2;1;0;9877
./point_orthocentre.v;StructuredUnification;2;2;0;9882
./point_orthocentre.v;StructuredUnification;2;5;0;9875
./point_orthocentre.v;StructuredUnification;5;1;0;9880
./point_orthocentre.v;StructuredUnification;5;2;0;9881
./point_orthocentre.v;StructuredUnification;5;5;0;9874
./point_orthocentre.v;StructuredSplitUnification;1;1;0;9879
./point_orthocentre.v;StructuredSplitUnification;1;2;0;9880
./point_orthocentre.v;StructuredSplitUnification;1;5;0;9879
./point_orthocentre.v;StructuredSplitUnification;2;1;0;9877
./point_orthocentre.v;StructuredSplitUnification;2;2;0;9874
./point_orthocentre.v;StructuredSplitUnification;2;5;0;9880
./point_orthocentre.v;StructuredSplitUnification;5;1;0;9882
./point_orthocentre.v;StructuredSplitUnification;5;2;0;9878
./point_orthocentre.v;StructuredSplitUnification;5;5;0;9876
./point_orthocentre.v;StructuredTypeEvaluation;10;10;0;9878
./point_orthocentre.v;Basic;0;0;0;9870
./point_orthocentre.v;SimpleUnification;0;0;0;9875
./point_orthocentre.v;SimpleSplitUnification;0;0;0;9876
./point_orthocentre.v;SplitTypeUnification;0;0;0;9878
./point_orthocentre.v;SplitTypeSplitUnification;0;0;0;9877
./point_orthocentre.v;Shuffle;0;0;0;9897
./point_orthocentre.v;ShuffleUnification;0;0;0;9888
./point_orthocentre.v;ShuffleSplitUnification;0;0;0;9880
