File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./abp_proc.v;StructuredUnification;1;1;2.4700176447399214;8398
./abp_proc.v;StructuredUnification;1;2;4.829114453297656;8431
./abp_proc.v;StructuredUnification;1;5;5.608265692821311;8103
./abp_proc.v;StructuredUnification;2;1;3.530529054091563;8438
./abp_proc.v;StructuredUnification;2;2;5.608265692821311;8606
./abp_proc.v;StructuredUnification;2;5;5.608265692821311;8400
./abp_proc.v;StructuredUnification;5;1;5.608265692821311;8877
./abp_proc.v;StructuredUnification;5;2;5.608265692821311;8577
./abp_proc.v;StructuredUnification;5;5;5.608265692821311;8191
./abp_proc.v;StructuredSplitUnification;1;1;2.4700176447399214;8024
./abp_proc.v;StructuredSplitUnification;1;2;4.829114453297656;8445
./abp_proc.v;StructuredSplitUnification;1;5;5.608265692821311;8265
./abp_proc.v;StructuredSplitUnification;2;1;3.530529054091563;8292
./abp_proc.v;StructuredSplitUnification;2;2;5.608265692821311;8453
./abp_proc.v;StructuredSplitUnification;2;5;5.608265692821311;8589
./abp_proc.v;StructuredSplitUnification;5;1;5.608265692821311;8431
./abp_proc.v;StructuredSplitUnification;5;2;5.608265692821311;8136
./abp_proc.v;StructuredSplitUnification;5;5;5.608265692821311;8157
./abp_proc.v;SimpleUnification;0;0;3.822710768912934;8861
./abp_proc.v;SimpleSplitUnification;0;0;3.822710768912934;8767
./abp_proc.v;SplitTypeUnification;0;0;3.822710768912934;9132
./abp_proc.v;SplitTypeSplitUnification;0;0;3.822710768912934;9579
