File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Partial_order_facts.v;SimpleTypeIntersection;0;0;0;9165
./Partial_order_facts.v;SplitTypeIntersection;0;0;0;9175
./Partial_order_facts.v;StructuredTypeEvaluation;1;1;0;9174
./Partial_order_facts.v;StructuredTypeEvaluation;1;2;0;9172
./Partial_order_facts.v;StructuredTypeEvaluation;1;5;0;9174
./Partial_order_facts.v;StructuredTypeEvaluation;2;1;0;9164
./Partial_order_facts.v;StructuredTypeEvaluation;2;2;0;9169
./Partial_order_facts.v;StructuredTypeEvaluation;2;5;0;9168
./Partial_order_facts.v;StructuredTypeEvaluation;5;1;0;9169
./Partial_order_facts.v;StructuredTypeEvaluation;5;2;0;9167
./Partial_order_facts.v;StructuredTypeEvaluation;5;5;0;9170
./Partial_order_facts.v;StructuredUnification;1;1;0;9173
./Partial_order_facts.v;StructuredUnification;1;2;0;9171
./Partial_order_facts.v;StructuredUnification;1;5;0;9172
./Partial_order_facts.v;StructuredUnification;2;1;0;9167
./Partial_order_facts.v;StructuredUnification;2;2;0;9176
./Partial_order_facts.v;StructuredUnification;2;5;0;9172
./Partial_order_facts.v;StructuredUnification;5;1;0;9167
./Partial_order_facts.v;StructuredUnification;5;2;0;9168
./Partial_order_facts.v;StructuredUnification;5;5;0;9172
./Partial_order_facts.v;StructuredSplitUnification;1;1;0;9175
./Partial_order_facts.v;StructuredSplitUnification;1;2;0;9172
./Partial_order_facts.v;StructuredSplitUnification;1;5;0;9174
./Partial_order_facts.v;StructuredSplitUnification;2;1;0;9166
./Partial_order_facts.v;StructuredSplitUnification;2;2;0;9171
./Partial_order_facts.v;StructuredSplitUnification;2;5;0;9175
./Partial_order_facts.v;StructuredSplitUnification;5;1;0;9172
./Partial_order_facts.v;StructuredSplitUnification;5;2;0;9176
./Partial_order_facts.v;StructuredSplitUnification;5;5;0;9168
./Partial_order_facts.v;StructuredTypeEvaluation;10;10;0;9169
./Partial_order_facts.v;Basic;0;0;0;9166
./Partial_order_facts.v;SimpleUnification;0;0;0;9163
./Partial_order_facts.v;SimpleSplitUnification;0;0;0;9164
./Partial_order_facts.v;SplitTypeUnification;0;0;0;9164
./Partial_order_facts.v;SplitTypeSplitUnification;0;0;0;9162
./Partial_order_facts.v;Shuffle;0;0;0;9162
./Partial_order_facts.v;ShuffleUnification;0;0;0;9167
./Partial_order_facts.v;ShuffleSplitUnification;0;0;0;9168
