File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./DepMap.v;SimpleTypeIntersection;0;0;NaN;21
./DepMap.v;SplitTypeIntersection;0;0;NaN;21
./DepMap.v;StructuredTypeEvaluation;1;1;NaN;22
./DepMap.v;StructuredTypeEvaluation;1;2;NaN;23
./DepMap.v;StructuredTypeEvaluation;1;5;NaN;21
./DepMap.v;StructuredTypeEvaluation;2;1;NaN;23
./DepMap.v;StructuredTypeEvaluation;2;2;NaN;25
./DepMap.v;StructuredTypeEvaluation;2;5;NaN;21
./DepMap.v;StructuredTypeEvaluation;5;1;NaN;19
./DepMap.v;StructuredTypeEvaluation;5;2;NaN;20
./DepMap.v;StructuredTypeEvaluation;5;5;NaN;19
./DepMap.v;StructuredUnification;1;1;NaN;20
./DepMap.v;StructuredUnification;1;2;NaN;19
./DepMap.v;StructuredUnification;1;5;NaN;20
./DepMap.v;StructuredUnification;2;1;NaN;19
./DepMap.v;StructuredUnification;2;2;NaN;20
./DepMap.v;StructuredUnification;2;5;NaN;20
./DepMap.v;StructuredUnification;5;1;NaN;20
./DepMap.v;StructuredUnification;5;2;NaN;22
./DepMap.v;StructuredUnification;5;5;NaN;20
./DepMap.v;StructuredSplitUnification;1;1;NaN;18
./DepMap.v;StructuredSplitUnification;1;2;NaN;19
./DepMap.v;StructuredSplitUnification;1;5;NaN;19
./DepMap.v;StructuredSplitUnification;2;1;NaN;19
./DepMap.v;StructuredSplitUnification;2;2;NaN;20
./DepMap.v;StructuredSplitUnification;2;5;NaN;23
./DepMap.v;StructuredSplitUnification;5;1;NaN;21
./DepMap.v;StructuredSplitUnification;5;2;NaN;22
./DepMap.v;StructuredSplitUnification;5;5;NaN;25
./DepMap.v;StructuredTypeEvaluation;10;10;NaN;22
./DepMap.v;Basic;0;0;NaN;23
./DepMap.v;SimpleUnification;0;0;NaN;26
./DepMap.v;SimpleSplitUnification;0;0;NaN;22
./DepMap.v;SplitTypeUnification;0;0;NaN;22
./DepMap.v;SplitTypeSplitUnification;0;0;NaN;24
./DepMap.v;Shuffle;0;0;NaN;23
./DepMap.v;ShuffleUnification;0;0;NaN;21
./DepMap.v;ShuffleSplitUnification;0;0;NaN;22
