File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./algpodefs.v;SimpleTypeIntersection;0;0;NaN;18
./algpodefs.v;SplitTypeIntersection;0;0;NaN;16
./algpodefs.v;StructuredTypeEvaluation;1;1;NaN;18
./algpodefs.v;StructuredTypeEvaluation;1;2;NaN;19
./algpodefs.v;StructuredTypeEvaluation;1;5;NaN;17
./algpodefs.v;StructuredTypeEvaluation;2;1;NaN;18
./algpodefs.v;StructuredTypeEvaluation;2;2;NaN;17
./algpodefs.v;StructuredTypeEvaluation;2;5;NaN;17
./algpodefs.v;StructuredTypeEvaluation;5;1;NaN;17
./algpodefs.v;StructuredTypeEvaluation;5;2;NaN;17
./algpodefs.v;StructuredTypeEvaluation;5;5;NaN;18
./algpodefs.v;StructuredUnification;1;1;NaN;18
./algpodefs.v;StructuredUnification;1;2;NaN;17
./algpodefs.v;StructuredUnification;1;5;NaN;17
./algpodefs.v;StructuredUnification;2;1;NaN;17
./algpodefs.v;StructuredUnification;2;2;NaN;17
./algpodefs.v;StructuredUnification;2;5;NaN;18
./algpodefs.v;StructuredUnification;5;1;NaN;17
./algpodefs.v;StructuredUnification;5;2;NaN;17
./algpodefs.v;StructuredUnification;5;5;NaN;17
./algpodefs.v;StructuredSplitUnification;1;1;NaN;17
./algpodefs.v;StructuredSplitUnification;1;2;NaN;17
./algpodefs.v;StructuredSplitUnification;1;5;NaN;18
./algpodefs.v;StructuredSplitUnification;2;1;NaN;18
./algpodefs.v;StructuredSplitUnification;2;2;NaN;17
./algpodefs.v;StructuredSplitUnification;2;5;NaN;17
./algpodefs.v;StructuredSplitUnification;5;1;NaN;18
./algpodefs.v;StructuredSplitUnification;5;2;NaN;17
./algpodefs.v;StructuredSplitUnification;5;5;NaN;17
./algpodefs.v;StructuredTypeEvaluation;10;10;NaN;18
./algpodefs.v;Basic;0;0;NaN;18
./algpodefs.v;SimpleUnification;0;0;NaN;18
./algpodefs.v;SimpleSplitUnification;0;0;NaN;19
./algpodefs.v;SplitTypeUnification;0;0;NaN;18
./algpodefs.v;SplitTypeSplitUnification;0;0;NaN;18
./algpodefs.v;Shuffle;0;0;NaN;17
./algpodefs.v;ShuffleUnification;0;0;NaN;18
./algpodefs.v;ShuffleSplitUnification;0;0;NaN;17
