File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./alpo.v;StructuredUnification;1;1;47.3469342161317;33157
./alpo.v;StructuredUnification;1;2;56.82559105447091;31818
./alpo.v;StructuredUnification;1;5;62.08374045946389;31210
./alpo.v;StructuredUnification;2;1;57.64296546475096;31206
./alpo.v;StructuredUnification;2;2;62.20575620544366;30888
./alpo.v;StructuredUnification;2;5;61.46275948355696;30963
./alpo.v;StructuredUnification;5;1;59.73555334164023;31165
./alpo.v;StructuredUnification;5;2;61.99711376550788;31884
./alpo.v;StructuredUnification;5;5;61.31599644649563;32251
./alpo.v;StructuredSplitUnification;1;1;47.3469342161317;32371
./alpo.v;StructuredSplitUnification;1;2;56.82559105447091;31297
./alpo.v;StructuredSplitUnification;1;5;62.08374045946389;32346
./alpo.v;StructuredSplitUnification;2;1;57.64296546475096;31424
./alpo.v;StructuredSplitUnification;2;2;62.20575620544366;31095
./alpo.v;StructuredSplitUnification;2;5;61.46275948355696;31530
./alpo.v;StructuredSplitUnification;5;1;59.73555334164023;30942
./alpo.v;StructuredSplitUnification;5;2;61.99711376550788;31272
./alpo.v;StructuredSplitUnification;5;5;61.31599644649563;31022
./alpo.v;SimpleUnification;0;0;53.99297276239462;32221
./alpo.v;SimpleSplitUnification;0;0;53.99297276239462;31478
./alpo.v;SplitTypeUnification;0;0;57.1336260334945;33353
./alpo.v;SplitTypeSplitUnification;0;0;57.1336260334945;33740
