File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./CoreGenericEnv.v;SimpleTypeIntersection;0;0;NaN;22
./CoreGenericEnv.v;SplitTypeIntersection;0;0;NaN;27
./CoreGenericEnv.v;StructuredTypeEvaluation;1;1;NaN;25
./CoreGenericEnv.v;StructuredTypeEvaluation;1;2;NaN;26
./CoreGenericEnv.v;StructuredTypeEvaluation;1;5;NaN;21
./CoreGenericEnv.v;StructuredTypeEvaluation;2;1;NaN;33
./CoreGenericEnv.v;StructuredTypeEvaluation;2;2;NaN;21
./CoreGenericEnv.v;StructuredTypeEvaluation;2;5;NaN;18
./CoreGenericEnv.v;StructuredTypeEvaluation;5;1;NaN;17
./CoreGenericEnv.v;StructuredTypeEvaluation;5;2;NaN;19
./CoreGenericEnv.v;StructuredTypeEvaluation;5;5;NaN;22
./CoreGenericEnv.v;StructuredUnification;1;1;NaN;20
./CoreGenericEnv.v;StructuredUnification;1;2;NaN;25
./CoreGenericEnv.v;StructuredUnification;1;5;NaN;23
./CoreGenericEnv.v;StructuredUnification;2;1;NaN;23
./CoreGenericEnv.v;StructuredUnification;2;2;NaN;22
./CoreGenericEnv.v;StructuredUnification;2;5;NaN;28
./CoreGenericEnv.v;StructuredUnification;5;1;NaN;29
./CoreGenericEnv.v;StructuredUnification;5;2;NaN;31
./CoreGenericEnv.v;StructuredUnification;5;5;NaN;24
./CoreGenericEnv.v;StructuredSplitUnification;1;1;NaN;25
./CoreGenericEnv.v;StructuredSplitUnification;1;2;NaN;24
./CoreGenericEnv.v;StructuredSplitUnification;1;5;NaN;35
./CoreGenericEnv.v;StructuredSplitUnification;2;1;NaN;36
./CoreGenericEnv.v;StructuredSplitUnification;2;2;NaN;33
./CoreGenericEnv.v;StructuredSplitUnification;2;5;NaN;25
./CoreGenericEnv.v;StructuredSplitUnification;5;1;NaN;30
./CoreGenericEnv.v;StructuredSplitUnification;5;2;NaN;27
./CoreGenericEnv.v;StructuredSplitUnification;5;5;NaN;24
./CoreGenericEnv.v;StructuredTypeEvaluation;10;10;NaN;32
./CoreGenericEnv.v;Basic;0;0;NaN;34
./CoreGenericEnv.v;SimpleUnification;0;0;NaN;25
./CoreGenericEnv.v;SimpleSplitUnification;0;0;NaN;27
./CoreGenericEnv.v;SplitTypeUnification;0;0;NaN;30
./CoreGenericEnv.v;SplitTypeSplitUnification;0;0;NaN;28
./CoreGenericEnv.v;Shuffle;0;0;NaN;35
./CoreGenericEnv.v;ShuffleUnification;0;0;NaN;32
./CoreGenericEnv.v;ShuffleSplitUnification;0;0;NaN;26
