File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Assoc.v;SimpleTypeIntersection;0;0;0;87990
./Assoc.v;SplitTypeIntersection;0;0;0;87953
./Assoc.v;StructuredTypeEvaluation;1;1;0;87962
./Assoc.v;StructuredTypeEvaluation;1;2;0;87945
./Assoc.v;StructuredTypeEvaluation;1;5;0;87942
./Assoc.v;StructuredTypeEvaluation;2;1;0;87951
./Assoc.v;StructuredTypeEvaluation;2;2;0;87914
./Assoc.v;StructuredTypeEvaluation;2;5;0;87934
./Assoc.v;StructuredTypeEvaluation;5;1;0;87956
./Assoc.v;StructuredTypeEvaluation;5;2;0;87937
./Assoc.v;StructuredTypeEvaluation;5;5;0;88182
./Assoc.v;StructuredUnification;1;1;0;88141
./Assoc.v;StructuredUnification;1;2;0;88215
./Assoc.v;StructuredUnification;1;5;0;88306
./Assoc.v;StructuredUnification;2;1;0;88269
./Assoc.v;StructuredUnification;2;2;0;88273
./Assoc.v;StructuredUnification;2;5;0;88211
./Assoc.v;StructuredUnification;5;1;0;88251
./Assoc.v;StructuredUnification;5;2;0;88234
./Assoc.v;StructuredUnification;5;5;0;88268
./Assoc.v;StructuredSplitUnification;1;1;0;89000
./Assoc.v;StructuredSplitUnification;1;2;0;87629
./Assoc.v;StructuredSplitUnification;1;5;0;88100
./Assoc.v;StructuredSplitUnification;2;1;0;88108
./Assoc.v;StructuredSplitUnification;2;2;0;88179
./Assoc.v;StructuredSplitUnification;2;5;0;88003
./Assoc.v;StructuredSplitUnification;5;1;0;87950
./Assoc.v;StructuredSplitUnification;5;2;0;87978
./Assoc.v;StructuredSplitUnification;5;5;0;87929
./Assoc.v;StructuredTypeEvaluation;10;10;0;87962
./Assoc.v;Basic;0;0;0;87960
./Assoc.v;SimpleUnification;0;0;0;87951
./Assoc.v;SimpleSplitUnification;0;0;0;87970
./Assoc.v;SplitTypeUnification;0;0;0;87988
./Assoc.v;SplitTypeSplitUnification;0;0;0;87941
./Assoc.v;Shuffle;0;0;0;87959
./Assoc.v;ShuffleUnification;0;0;0;87967
./Assoc.v;ShuffleSplitUnification;0;0;0;87961
