File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./IZF_nat.v;SimpleTypeIntersection;0;0;0;29973
./IZF_nat.v;SplitTypeIntersection;0;0;0;29962
./IZF_nat.v;StructuredTypeEvaluation;1;1;0;30046
./IZF_nat.v;StructuredTypeEvaluation;1;2;0;30018
./IZF_nat.v;StructuredTypeEvaluation;1;5;0;29964
./IZF_nat.v;StructuredTypeEvaluation;2;1;0;29962
./IZF_nat.v;StructuredTypeEvaluation;2;2;0;30016
./IZF_nat.v;StructuredTypeEvaluation;2;5;0;29382
./IZF_nat.v;StructuredTypeEvaluation;5;1;0;29945
./IZF_nat.v;StructuredTypeEvaluation;5;2;0;29958
./IZF_nat.v;StructuredTypeEvaluation;5;5;0;29976
./IZF_nat.v;StructuredUnification;1;1;0;29983
./IZF_nat.v;StructuredUnification;1;2;0;29995
./IZF_nat.v;StructuredUnification;1;5;0;29935
./IZF_nat.v;StructuredUnification;2;1;0;29949
./IZF_nat.v;StructuredUnification;2;2;0;30090
./IZF_nat.v;StructuredUnification;2;5;0;30052
./IZF_nat.v;StructuredUnification;5;1;0;29948
./IZF_nat.v;StructuredUnification;5;2;0;29941
./IZF_nat.v;StructuredUnification;5;5;0;30065
./IZF_nat.v;StructuredSplitUnification;1;1;0;30042
./IZF_nat.v;StructuredSplitUnification;1;2;0;29978
./IZF_nat.v;StructuredSplitUnification;1;5;0;29951
./IZF_nat.v;StructuredSplitUnification;2;1;0;30064
./IZF_nat.v;StructuredSplitUnification;2;2;0;30110
./IZF_nat.v;StructuredSplitUnification;2;5;0;29979
./IZF_nat.v;StructuredSplitUnification;5;1;0;29931
./IZF_nat.v;StructuredSplitUnification;5;2;0;29944
./IZF_nat.v;StructuredSplitUnification;5;5;0;30015
./IZF_nat.v;StructuredTypeEvaluation;10;10;0;30027
./IZF_nat.v;Basic;0;0;0;29962
./IZF_nat.v;SimpleUnification;0;0;0;29951
./IZF_nat.v;SimpleSplitUnification;0;0;0;30117
./IZF_nat.v;SplitTypeUnification;0;0;0;30062
./IZF_nat.v;SplitTypeSplitUnification;0;0;0;29954
./IZF_nat.v;Shuffle;0;0;0;29967
./IZF_nat.v;ShuffleUnification;0;0;0;30016
./IZF_nat.v;ShuffleSplitUnification;0;0;0;30013
