File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Mini_ML.v;SimpleTypeIntersection;0;0;41.90580884215633;28855
./Mini_ML.v;SplitTypeIntersection;0;0;42.73430949627433;29971
./Mini_ML.v;StructuredTypeEvaluation;1;1;40.654016932991446;26399
./Mini_ML.v;StructuredTypeEvaluation;1;2;45.852915424440894;26733
./Mini_ML.v;StructuredTypeEvaluation;1;5;46.4179729245896;26546
./Mini_ML.v;StructuredTypeEvaluation;2;1;45.207496826159826;26145
./Mini_ML.v;StructuredTypeEvaluation;2;2;45.96821956770313;25946
./Mini_ML.v;StructuredTypeEvaluation;2;5;46.41370386477735;25788
./Mini_ML.v;StructuredTypeEvaluation;5;1;45.01985583607897;25922
./Mini_ML.v;StructuredTypeEvaluation;5;2;45.9639505078909;25627
./Mini_ML.v;StructuredTypeEvaluation;5;5;46.41370386477735;25799
./Mini_ML.v;StructuredUnification;1;1;40.654016932991446;25648
./Mini_ML.v;StructuredUnification;1;2;45.852915424440894;25824
./Mini_ML.v;StructuredUnification;1;5;46.4179729245896;26167
./Mini_ML.v;StructuredUnification;2;1;45.248548795263446;25862
./Mini_ML.v;StructuredUnification;2;2;45.96821956770313;25700
./Mini_ML.v;StructuredUnification;2;5;46.41370386477735;25590
./Mini_ML.v;StructuredUnification;5;1;45.01985583607897;25769
./Mini_ML.v;StructuredUnification;5;2;45.96821956770313;25457
./Mini_ML.v;StructuredUnification;5;5;46.41370386477735;25761
./Mini_ML.v;StructuredSplitUnification;1;1;40.654016932991446;25772
./Mini_ML.v;StructuredSplitUnification;1;2;45.852915424440894;25820
./Mini_ML.v;StructuredSplitUnification;1;5;46.4179729245896;26424
./Mini_ML.v;StructuredSplitUnification;2;1;45.248548795263446;26029
./Mini_ML.v;StructuredSplitUnification;2;2;45.96821956770313;25936
./Mini_ML.v;StructuredSplitUnification;2;5;46.41370386477735;25802
./Mini_ML.v;StructuredSplitUnification;5;1;45.01985583607897;25778
./Mini_ML.v;StructuredSplitUnification;5;2;45.96821956770313;25652
./Mini_ML.v;StructuredSplitUnification;5;5;46.41370386477735;25875
./Mini_ML.v;StructuredTypeEvaluation;10;10;46.41370386477735;26046
./Mini_ML.v;Basic;0;0;30.09946281647971;25283
./Mini_ML.v;SimpleUnification;0;0;41.90580884215633;26590
./Mini_ML.v;SimpleSplitUnification;0;0;41.90580884215633;26826
./Mini_ML.v;SplitTypeUnification;0;0;42.73430949627433;28376
./Mini_ML.v;SplitTypeSplitUnification;0;0;42.73430949627433;28155
./Mini_ML.v;Shuffle;0;0;30.409932946330244;25989
./Mini_ML.v;ShuffleUnification;0;0;30.426428638163678;25897
./Mini_ML.v;ShuffleSplitUnification;0;0;30.426428638163678;25993
