File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./invp.v;StructuredUnification;1;1;NaN;27
./invp.v;StructuredUnification;1;2;NaN;27
./invp.v;StructuredUnification;1;5;NaN;29
./invp.v;StructuredUnification;2;1;NaN;25
./invp.v;StructuredUnification;2;2;NaN;33
./invp.v;StructuredUnification;2;5;NaN;26
./invp.v;StructuredUnification;5;1;NaN;27
./invp.v;StructuredUnification;5;2;NaN;35
./invp.v;StructuredUnification;5;5;NaN;33
./invp.v;StructuredSplitUnification;1;1;NaN;31
./invp.v;StructuredSplitUnification;1;2;NaN;23
./invp.v;StructuredSplitUnification;1;5;NaN;25
./invp.v;StructuredSplitUnification;2;1;NaN;28
./invp.v;StructuredSplitUnification;2;2;NaN;26
./invp.v;StructuredSplitUnification;2;5;NaN;24
./invp.v;StructuredSplitUnification;5;1;NaN;26
./invp.v;StructuredSplitUnification;5;2;NaN;28
./invp.v;StructuredSplitUnification;5;5;NaN;27
./invp.v;SimpleUnification;0;0;NaN;23
./invp.v;SimpleSplitUnification;0;0;NaN;24
./invp.v;SplitTypeUnification;0;0;NaN;26
./invp.v;SplitTypeSplitUnification;0;0;NaN;39
