File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./invprel7.v;SimpleTypeIntersection;0;0;0;6346
./invprel7.v;SplitTypeIntersection;0;0;0;6341
./invprel7.v;StructuredTypeEvaluation;1;1;0;6346
./invprel7.v;StructuredTypeEvaluation;1;2;0;6345
./invprel7.v;StructuredTypeEvaluation;1;5;0;6348
./invprel7.v;StructuredTypeEvaluation;2;1;0;6346
./invprel7.v;StructuredTypeEvaluation;2;2;0;6345
./invprel7.v;StructuredTypeEvaluation;2;5;0;6348
./invprel7.v;StructuredTypeEvaluation;5;1;0;6347
./invprel7.v;StructuredTypeEvaluation;5;2;0;6344
./invprel7.v;StructuredTypeEvaluation;5;5;0;6344
./invprel7.v;StructuredUnification;1;1;0;6351
./invprel7.v;StructuredUnification;1;2;0;6348
./invprel7.v;StructuredUnification;1;5;0;6343
./invprel7.v;StructuredUnification;2;1;0;6341
./invprel7.v;StructuredUnification;2;2;0;6342
./invprel7.v;StructuredUnification;2;5;0;6343
./invprel7.v;StructuredUnification;5;1;0;6344
./invprel7.v;StructuredUnification;5;2;0;6347
./invprel7.v;StructuredUnification;5;5;0;6351
./invprel7.v;StructuredSplitUnification;1;1;0;6344
./invprel7.v;StructuredSplitUnification;1;2;0;6350
./invprel7.v;StructuredSplitUnification;1;5;0;6346
./invprel7.v;StructuredSplitUnification;2;1;0;6346
./invprel7.v;StructuredSplitUnification;2;2;0;6345
./invprel7.v;StructuredSplitUnification;2;5;0;6344
./invprel7.v;StructuredSplitUnification;5;1;0;6347
./invprel7.v;StructuredSplitUnification;5;2;0;6345
./invprel7.v;StructuredSplitUnification;5;5;0;6345
./invprel7.v;StructuredTypeEvaluation;10;10;0;6348
./invprel7.v;Basic;0;0;0;6343
./invprel7.v;SimpleUnification;0;0;0;6351
./invprel7.v;SimpleSplitUnification;0;0;0;6347
./invprel7.v;SplitTypeUnification;0;0;0;6346
./invprel7.v;SplitTypeSplitUnification;0;0;0;6342
./invprel7.v;Shuffle;0;0;0;6346
./invprel7.v;ShuffleUnification;0;0;0;6347
./invprel7.v;ShuffleSplitUnification;0;0;0;6348
