File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./main.v;SimpleTypeIntersection;0;0;NaN;22
./main.v;SplitTypeIntersection;0;0;NaN;21
./main.v;StructuredTypeEvaluation;1;1;NaN;26
./main.v;StructuredTypeEvaluation;1;2;NaN;22
./main.v;StructuredTypeEvaluation;1;5;NaN;22
./main.v;StructuredTypeEvaluation;2;1;NaN;24
./main.v;StructuredTypeEvaluation;2;2;NaN;23
./main.v;StructuredTypeEvaluation;2;5;NaN;23
./main.v;StructuredTypeEvaluation;5;1;NaN;22
./main.v;StructuredTypeEvaluation;5;2;NaN;20
./main.v;StructuredTypeEvaluation;5;5;NaN;20
./main.v;StructuredUnification;1;1;NaN;24
./main.v;StructuredUnification;1;2;NaN;24
./main.v;StructuredUnification;1;5;NaN;21
./main.v;StructuredUnification;2;1;NaN;21
./main.v;StructuredUnification;2;2;NaN;23
./main.v;StructuredUnification;2;5;NaN;23
./main.v;StructuredUnification;5;1;NaN;28
./main.v;StructuredUnification;5;2;NaN;25
./main.v;StructuredUnification;5;5;NaN;18
./main.v;StructuredSplitUnification;1;1;NaN;19
./main.v;StructuredSplitUnification;1;2;NaN;19
./main.v;StructuredSplitUnification;1;5;NaN;23
./main.v;StructuredSplitUnification;2;1;NaN;23
./main.v;StructuredSplitUnification;2;2;NaN;23
./main.v;StructuredSplitUnification;2;5;NaN;25
./main.v;StructuredSplitUnification;5;1;NaN;22
./main.v;StructuredSplitUnification;5;2;NaN;22
./main.v;StructuredSplitUnification;5;5;NaN;24
./main.v;StructuredTypeEvaluation;10;10;NaN;23
./main.v;Basic;0;0;NaN;22
./main.v;SimpleUnification;0;0;NaN;23
./main.v;SimpleSplitUnification;0;0;NaN;21
./main.v;SplitTypeUnification;0;0;NaN;24
./main.v;SplitTypeSplitUnification;0;0;NaN;21
./main.v;Shuffle;0;0;NaN;21
./main.v;ShuffleUnification;0;0;NaN;22
./main.v;ShuffleSplitUnification;0;0;NaN;21
