File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./b_soundness.v;SimpleTypeIntersection;0;0;0;14786
./b_soundness.v;SplitTypeIntersection;0;0;0;14793
./b_soundness.v;StructuredTypeEvaluation;1;1;0;14786
./b_soundness.v;StructuredTypeEvaluation;1;2;0;14790
./b_soundness.v;StructuredTypeEvaluation;1;5;0;14783
./b_soundness.v;StructuredTypeEvaluation;2;1;0;14795
./b_soundness.v;StructuredTypeEvaluation;2;2;0;14786
./b_soundness.v;StructuredTypeEvaluation;2;5;0;14785
./b_soundness.v;StructuredTypeEvaluation;5;1;0;14782
./b_soundness.v;StructuredTypeEvaluation;5;2;0;14779
./b_soundness.v;StructuredTypeEvaluation;5;5;0;14784
./b_soundness.v;StructuredUnification;1;1;0;14782
./b_soundness.v;StructuredUnification;1;2;0;14777
./b_soundness.v;StructuredUnification;1;5;0;14782
./b_soundness.v;StructuredUnification;2;1;0;14785
./b_soundness.v;StructuredUnification;2;2;0;14787
./b_soundness.v;StructuredUnification;2;5;0;14789
./b_soundness.v;StructuredUnification;5;1;0;14784
./b_soundness.v;StructuredUnification;5;2;0;14791
./b_soundness.v;StructuredUnification;5;5;0;14785
./b_soundness.v;StructuredSplitUnification;1;1;0;14780
./b_soundness.v;StructuredSplitUnification;1;2;0;14785
./b_soundness.v;StructuredSplitUnification;1;5;0;14794
./b_soundness.v;StructuredSplitUnification;2;1;0;14789
./b_soundness.v;StructuredSplitUnification;2;2;0;14786
./b_soundness.v;StructuredSplitUnification;2;5;0;14773
./b_soundness.v;StructuredSplitUnification;5;1;0;14775
./b_soundness.v;StructuredSplitUnification;5;2;0;14785
./b_soundness.v;StructuredSplitUnification;5;5;0;14788
./b_soundness.v;StructuredTypeEvaluation;10;10;0;14778
./b_soundness.v;Basic;0;0;0;14782
./b_soundness.v;SimpleUnification;0;0;0;14780
./b_soundness.v;SimpleSplitUnification;0;0;0;14782
./b_soundness.v;SplitTypeUnification;0;0;0;14788
./b_soundness.v;SplitTypeSplitUnification;0;0;0;14787
./b_soundness.v;Shuffle;0;0;0;14788
./b_soundness.v;ShuffleUnification;0;0;0;14779
./b_soundness.v;ShuffleSplitUnification;0;0;0;14778
