File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./d_hilbert_calculus.v;StructuredUnification;1;1;25.51656119651958;11405
./d_hilbert_calculus.v;StructuredUnification;1;2;26.58077500510369;11464
./d_hilbert_calculus.v;StructuredUnification;1;5;39.17248794417817;11298
./d_hilbert_calculus.v;StructuredUnification;2;1;26.58077500510369;11358
./d_hilbert_calculus.v;StructuredUnification;2;2;34.936627313632;11434
./d_hilbert_calculus.v;StructuredUnification;2;5;39.349480426764515;11628
./d_hilbert_calculus.v;StructuredUnification;5;1;34.00781541177123;11754
./d_hilbert_calculus.v;StructuredUnification;5;2;35.51783235780068;11216
./d_hilbert_calculus.v;StructuredUnification;5;5;38.97556387571498;11088
./d_hilbert_calculus.v;StructuredSplitUnification;1;1;25.51656119651958;11476
./d_hilbert_calculus.v;StructuredSplitUnification;1;2;26.58077500510369;11581
./d_hilbert_calculus.v;StructuredSplitUnification;1;5;39.17248794417817;11574
./d_hilbert_calculus.v;StructuredSplitUnification;2;1;26.58077500510369;11618
./d_hilbert_calculus.v;StructuredSplitUnification;2;2;34.936627313632;11400
./d_hilbert_calculus.v;StructuredSplitUnification;2;5;39.349480426764515;11383
./d_hilbert_calculus.v;StructuredSplitUnification;5;1;34.00781541177123;11276
./d_hilbert_calculus.v;StructuredSplitUnification;5;2;35.51783235780068;11444
./d_hilbert_calculus.v;StructuredSplitUnification;5;5;38.97556387571498;11436
./d_hilbert_calculus.v;SimpleUnification;0;0;39.910355253338814;11285
./d_hilbert_calculus.v;SimpleSplitUnification;0;0;39.910355253338814;11728
./d_hilbert_calculus.v;SplitTypeUnification;0;0;36.189925433567744;11896
./d_hilbert_calculus.v;SplitTypeSplitUnification;0;0;36.189925433567744;11963
