File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Rem.v;SimpleTypeIntersection;0;0;55.12692558097984;3463
./Rem.v;SplitTypeIntersection;0;0;55.12692558097984;3715
./Rem.v;StructuredTypeEvaluation;1;1;55.40080909183811;3420
./Rem.v;StructuredTypeEvaluation;1;2;55.40080909183811;3473
./Rem.v;StructuredTypeEvaluation;1;5;55.236478985323146;3401
./Rem.v;StructuredTypeEvaluation;2;1;55.40080909183811;3443
./Rem.v;StructuredTypeEvaluation;2;2;55.236478985323146;3377
./Rem.v;StructuredTypeEvaluation;2;5;55.236478985323146;3392
./Rem.v;StructuredTypeEvaluation;5;1;55.236478985323146;3437
./Rem.v;StructuredTypeEvaluation;5;2;55.236478985323146;3465
./Rem.v;StructuredTypeEvaluation;5;5;55.236478985323146;3438
./Rem.v;StructuredUnification;1;1;55.40080909183811;3342
./Rem.v;StructuredUnification;1;2;55.40080909183811;3429
./Rem.v;StructuredUnification;1;5;55.236478985323146;3442
./Rem.v;StructuredUnification;2;1;55.40080909183811;3433
./Rem.v;StructuredUnification;2;2;55.236478985323146;3380
./Rem.v;StructuredUnification;2;5;55.236478985323146;3400
./Rem.v;StructuredUnification;5;1;55.236478985323146;3376
./Rem.v;StructuredUnification;5;2;55.236478985323146;3377
./Rem.v;StructuredUnification;5;5;55.236478985323146;3385
./Rem.v;StructuredSplitUnification;1;1;55.40080909183811;3446
./Rem.v;StructuredSplitUnification;1;2;55.40080909183811;3518
./Rem.v;StructuredSplitUnification;1;5;55.236478985323146;3514
./Rem.v;StructuredSplitUnification;2;1;55.40080909183811;3390
./Rem.v;StructuredSplitUnification;2;2;55.236478985323146;3467
./Rem.v;StructuredSplitUnification;2;5;55.236478985323146;3592
./Rem.v;StructuredSplitUnification;5;1;55.236478985323146;3478
./Rem.v;StructuredSplitUnification;5;2;55.236478985323146;3416
./Rem.v;StructuredSplitUnification;5;5;55.236478985323146;3456
./Rem.v;StructuredTypeEvaluation;10;10;55.236478985323146;3468
./Rem.v;Basic;0;0;47.18430376608978;3169
./Rem.v;SimpleUnification;0;0;55.12692558097984;3440
./Rem.v;SimpleSplitUnification;0;0;55.12692558097984;3515
./Rem.v;SplitTypeUnification;0;0;55.12692558097984;3590
./Rem.v;SplitTypeSplitUnification;0;0;55.12692558097984;3702
./Rem.v;Shuffle;0;0;46.218864390314366;3394
./Rem.v;ShuffleUnification;0;0;46.218864390314366;3332
./Rem.v;ShuffleSplitUnification;0;0;46.218864390314366;3422
