File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Newman.v;SimpleTypeIntersection;0;0;0;4250
./Newman.v;SplitTypeIntersection;0;0;0;4239
./Newman.v;StructuredTypeEvaluation;1;1;0;4240
./Newman.v;StructuredTypeEvaluation;1;2;0;4254
./Newman.v;StructuredTypeEvaluation;1;5;0;4256
./Newman.v;StructuredTypeEvaluation;2;1;0;4250
./Newman.v;StructuredTypeEvaluation;2;2;0;4246
./Newman.v;StructuredTypeEvaluation;2;5;0;4245
./Newman.v;StructuredTypeEvaluation;5;1;0;4242
./Newman.v;StructuredTypeEvaluation;5;2;0;4243
./Newman.v;StructuredTypeEvaluation;5;5;0;4241
./Newman.v;StructuredUnification;1;1;0;4240
./Newman.v;StructuredUnification;1;2;0;4242
./Newman.v;StructuredUnification;1;5;0;4242
./Newman.v;StructuredUnification;2;1;0;4239
./Newman.v;StructuredUnification;2;2;0;4248
./Newman.v;StructuredUnification;2;5;0;4240
./Newman.v;StructuredUnification;5;1;0;4238
./Newman.v;StructuredUnification;5;2;0;4237
./Newman.v;StructuredUnification;5;5;0;4239
./Newman.v;StructuredSplitUnification;1;1;0;4241
./Newman.v;StructuredSplitUnification;1;2;0;4241
./Newman.v;StructuredSplitUnification;1;5;0;4239
./Newman.v;StructuredSplitUnification;2;1;0;4238
./Newman.v;StructuredSplitUnification;2;2;0;4241
./Newman.v;StructuredSplitUnification;2;5;0;4249
./Newman.v;StructuredSplitUnification;5;1;0;4258
./Newman.v;StructuredSplitUnification;5;2;0;4256
./Newman.v;StructuredSplitUnification;5;5;0;4264
./Newman.v;StructuredTypeEvaluation;10;10;0;4258
./Newman.v;Basic;0;0;0;4251
./Newman.v;SimpleUnification;0;0;0;4246
./Newman.v;SimpleSplitUnification;0;0;0;4247
./Newman.v;SplitTypeUnification;0;0;0;4258
./Newman.v;SplitTypeSplitUnification;0;0;0;4256
./Newman.v;Shuffle;0;0;0;4256
./Newman.v;ShuffleUnification;0;0;0;4262
./Newman.v;ShuffleSplitUnification;0;0;0;4248
