File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./konigsberg_bridges.v;StructuredUnification;1;1;24.78635032740282;32679
./konigsberg_bridges.v;StructuredUnification;1;2;29.646168568032216;32566
./konigsberg_bridges.v;StructuredUnification;1;5;37.056908659464376;32714
./konigsberg_bridges.v;StructuredUnification;2;1;29.954446003418067;32694
./konigsberg_bridges.v;StructuredUnification;2;2;35.80718884907264;32482
./konigsberg_bridges.v;StructuredUnification;2;5;41.24979508784891;32464
./konigsberg_bridges.v;StructuredUnification;5;1;33.34401181824835;32450
./konigsberg_bridges.v;StructuredUnification;5;2;40.172480092152696;32035
./konigsberg_bridges.v;StructuredUnification;5;5;40.01331612169257;32240
./konigsberg_bridges.v;StructuredSplitUnification;1;1;24.78635032740282;31819
./konigsberg_bridges.v;StructuredSplitUnification;1;2;29.646168568032216;31898
./konigsberg_bridges.v;StructuredSplitUnification;1;5;37.056908659464376;31931
./konigsberg_bridges.v;StructuredSplitUnification;2;1;29.954446003418067;32392
./konigsberg_bridges.v;StructuredSplitUnification;2;2;35.80718884907264;32313
./konigsberg_bridges.v;StructuredSplitUnification;2;5;41.24979508784891;32394
./konigsberg_bridges.v;StructuredSplitUnification;5;1;33.34401181824835;32224
./konigsberg_bridges.v;StructuredSplitUnification;5;2;40.172480092152696;32328
./konigsberg_bridges.v;StructuredSplitUnification;5;5;40.01331612169257;32239
./konigsberg_bridges.v;SimpleUnification;0;0;43.58069071879649;33413
./konigsberg_bridges.v;SimpleSplitUnification;0;0;43.58069071879649;33325
./konigsberg_bridges.v;SplitTypeUnification;0;0;49.547815157590286;33813
./konigsberg_bridges.v;SplitTypeSplitUnification;0;0;49.547815157590286;34038
