File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Bib.v;StructuredUnification;1;1;NaN;21
./Bib.v;StructuredUnification;1;2;NaN;17
./Bib.v;StructuredUnification;1;5;NaN;19
./Bib.v;StructuredUnification;2;1;NaN;21
./Bib.v;StructuredUnification;2;2;NaN;18
./Bib.v;StructuredUnification;2;5;NaN;20
./Bib.v;StructuredUnification;5;1;NaN;21
./Bib.v;StructuredUnification;5;2;NaN;18
./Bib.v;StructuredUnification;5;5;NaN;21
./Bib.v;StructuredSplitUnification;1;1;NaN;18
./Bib.v;StructuredSplitUnification;1;2;NaN;19
./Bib.v;StructuredSplitUnification;1;5;NaN;20
./Bib.v;StructuredSplitUnification;2;1;NaN;19
./Bib.v;StructuredSplitUnification;2;2;NaN;18
./Bib.v;StructuredSplitUnification;2;5;NaN;18
./Bib.v;StructuredSplitUnification;5;1;NaN;21
./Bib.v;StructuredSplitUnification;5;2;NaN;18
./Bib.v;StructuredSplitUnification;5;5;NaN;17
./Bib.v;SimpleUnification;0;0;NaN;17
./Bib.v;SimpleSplitUnification;0;0;NaN;18
./Bib.v;SplitTypeUnification;0;0;NaN;17
./Bib.v;SplitTypeSplitUnification;0;0;NaN;22
