File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Extraction.v;SimpleTypeIntersection;0;0;NaN;18
./Extraction.v;SplitTypeIntersection;0;0;NaN;20
./Extraction.v;StructuredTypeEvaluation;1;1;NaN;19
./Extraction.v;StructuredTypeEvaluation;1;2;NaN;21
./Extraction.v;StructuredTypeEvaluation;1;5;NaN;19
./Extraction.v;StructuredTypeEvaluation;2;1;NaN;18
./Extraction.v;StructuredTypeEvaluation;2;2;NaN;19
./Extraction.v;StructuredTypeEvaluation;2;5;NaN;19
./Extraction.v;StructuredTypeEvaluation;5;1;NaN;20
./Extraction.v;StructuredTypeEvaluation;5;2;NaN;20
./Extraction.v;StructuredTypeEvaluation;5;5;NaN;19
./Extraction.v;StructuredUnification;1;1;NaN;18
./Extraction.v;StructuredUnification;1;2;NaN;20
./Extraction.v;StructuredUnification;1;5;NaN;18
./Extraction.v;StructuredUnification;2;1;NaN;21
./Extraction.v;StructuredUnification;2;2;NaN;18
./Extraction.v;StructuredUnification;2;5;NaN;20
./Extraction.v;StructuredUnification;5;1;NaN;18
./Extraction.v;StructuredUnification;5;2;NaN;17
./Extraction.v;StructuredUnification;5;5;NaN;18
./Extraction.v;StructuredSplitUnification;1;1;NaN;19
./Extraction.v;StructuredSplitUnification;1;2;NaN;21
./Extraction.v;StructuredSplitUnification;1;5;NaN;22
./Extraction.v;StructuredSplitUnification;2;1;NaN;20
./Extraction.v;StructuredSplitUnification;2;2;NaN;19
./Extraction.v;StructuredSplitUnification;2;5;NaN;20
./Extraction.v;StructuredSplitUnification;5;1;NaN;20
./Extraction.v;StructuredSplitUnification;5;2;NaN;22
./Extraction.v;StructuredSplitUnification;5;5;NaN;24
./Extraction.v;StructuredTypeEvaluation;10;10;NaN;18
./Extraction.v;Basic;0;0;NaN;20
./Extraction.v;SimpleUnification;0;0;NaN;19
./Extraction.v;SimpleSplitUnification;0;0;NaN;18
./Extraction.v;SplitTypeUnification;0;0;NaN;21
./Extraction.v;SplitTypeSplitUnification;0;0;NaN;23
./Extraction.v;Shuffle;0;0;NaN;25
./Extraction.v;ShuffleUnification;0;0;NaN;19
./Extraction.v;ShuffleSplitUnification;0;0;NaN;20
