File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ImpParserTest.v;SimpleTypeIntersection;0;0;NaN;8
./ImpParserTest.v;SplitTypeIntersection;0;0;NaN;22
./ImpParserTest.v;StructuredTypeEvaluation;1;1;NaN;21
./ImpParserTest.v;StructuredTypeEvaluation;1;2;NaN;24
./ImpParserTest.v;StructuredTypeEvaluation;1;5;NaN;23
./ImpParserTest.v;StructuredTypeEvaluation;2;1;NaN;23
./ImpParserTest.v;StructuredTypeEvaluation;2;2;NaN;26
./ImpParserTest.v;StructuredTypeEvaluation;2;5;NaN;21
./ImpParserTest.v;StructuredTypeEvaluation;5;1;NaN;17
./ImpParserTest.v;StructuredTypeEvaluation;5;2;NaN;21
./ImpParserTest.v;StructuredTypeEvaluation;5;5;NaN;19
./ImpParserTest.v;StructuredUnification;1;1;NaN;24
./ImpParserTest.v;StructuredUnification;1;2;NaN;20
./ImpParserTest.v;StructuredUnification;1;5;NaN;25
./ImpParserTest.v;StructuredUnification;2;1;NaN;24
./ImpParserTest.v;StructuredUnification;2;2;NaN;23
./ImpParserTest.v;StructuredUnification;2;5;NaN;23
./ImpParserTest.v;StructuredUnification;5;1;NaN;29
./ImpParserTest.v;StructuredUnification;5;2;NaN;30
./ImpParserTest.v;StructuredUnification;5;5;NaN;28
./ImpParserTest.v;StructuredSplitUnification;1;1;NaN;27
./ImpParserTest.v;StructuredSplitUnification;1;2;NaN;27
./ImpParserTest.v;StructuredSplitUnification;1;5;NaN;22
./ImpParserTest.v;StructuredSplitUnification;2;1;NaN;31
./ImpParserTest.v;StructuredSplitUnification;2;2;NaN;27
./ImpParserTest.v;StructuredSplitUnification;2;5;NaN;31
./ImpParserTest.v;StructuredSplitUnification;5;1;NaN;32
./ImpParserTest.v;StructuredSplitUnification;5;2;NaN;24
./ImpParserTest.v;StructuredSplitUnification;5;5;NaN;27
./ImpParserTest.v;StructuredTypeEvaluation;10;10;NaN;27
./ImpParserTest.v;Basic;0;0;NaN;25
./ImpParserTest.v;SimpleUnification;0;0;NaN;26
./ImpParserTest.v;SimpleSplitUnification;0;0;NaN;35
./ImpParserTest.v;SplitTypeUnification;0;0;NaN;33
./ImpParserTest.v;SplitTypeSplitUnification;0;0;NaN;26
./ImpParserTest.v;Shuffle;0;0;NaN;35
./ImpParserTest.v;ShuffleUnification;0;0;NaN;25
./ImpParserTest.v;ShuffleSplitUnification;0;0;NaN;33
