File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./IndPropTest.v;SimpleTypeIntersection;0;0;NaN;7
./IndPropTest.v;SplitTypeIntersection;0;0;NaN;22
./IndPropTest.v;StructuredTypeEvaluation;1;1;NaN;18
./IndPropTest.v;StructuredTypeEvaluation;1;2;NaN;17
./IndPropTest.v;StructuredTypeEvaluation;1;5;NaN;20
./IndPropTest.v;StructuredTypeEvaluation;2;1;NaN;15
./IndPropTest.v;StructuredTypeEvaluation;2;2;NaN;19
./IndPropTest.v;StructuredTypeEvaluation;2;5;NaN;19
./IndPropTest.v;StructuredTypeEvaluation;5;1;NaN;21
./IndPropTest.v;StructuredTypeEvaluation;5;2;NaN;22
./IndPropTest.v;StructuredTypeEvaluation;5;5;NaN;22
./IndPropTest.v;StructuredUnification;1;1;NaN;21
./IndPropTest.v;StructuredUnification;1;2;NaN;22
./IndPropTest.v;StructuredUnification;1;5;NaN;20
./IndPropTest.v;StructuredUnification;2;1;NaN;19
./IndPropTest.v;StructuredUnification;2;2;NaN;19
./IndPropTest.v;StructuredUnification;2;5;NaN;17
./IndPropTest.v;StructuredUnification;5;1;NaN;18
./IndPropTest.v;StructuredUnification;5;2;NaN;17
./IndPropTest.v;StructuredUnification;5;5;NaN;19
./IndPropTest.v;StructuredSplitUnification;1;1;NaN;18
./IndPropTest.v;StructuredSplitUnification;1;2;NaN;20
./IndPropTest.v;StructuredSplitUnification;1;5;NaN;20
./IndPropTest.v;StructuredSplitUnification;2;1;NaN;20
./IndPropTest.v;StructuredSplitUnification;2;2;NaN;18
./IndPropTest.v;StructuredSplitUnification;2;5;NaN;19
./IndPropTest.v;StructuredSplitUnification;5;1;NaN;18
./IndPropTest.v;StructuredSplitUnification;5;2;NaN;20
./IndPropTest.v;StructuredSplitUnification;5;5;NaN;20
./IndPropTest.v;StructuredTypeEvaluation;10;10;NaN;20
./IndPropTest.v;Basic;0;0;NaN;18
./IndPropTest.v;SimpleUnification;0;0;NaN;18
./IndPropTest.v;SimpleSplitUnification;0;0;NaN;18
./IndPropTest.v;SplitTypeUnification;0;0;NaN;17
./IndPropTest.v;SplitTypeSplitUnification;0;0;NaN;18
./IndPropTest.v;Shuffle;0;0;NaN;20
./IndPropTest.v;ShuffleUnification;0;0;NaN;21
./IndPropTest.v;ShuffleSplitUnification;0;0;NaN;18
