File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Poly.v;SimpleTypeIntersection;0;0;85.66687120700708;2493
./Poly.v;SplitTypeIntersection;0;0;85.66687120700708;2621
./Poly.v;StructuredTypeEvaluation;1;1;51.73021498925095;2353
./Poly.v;StructuredTypeEvaluation;1;2;68.08423932756013;2353
./Poly.v;StructuredTypeEvaluation;1;5;78.03578118905928;2370
./Poly.v;StructuredTypeEvaluation;2;1;62.46563850296953;2398
./Poly.v;StructuredTypeEvaluation;2;2;74.7829070274542;2332
./Poly.v;StructuredTypeEvaluation;2;5;80.07681784160727;2351
./Poly.v;StructuredTypeEvaluation;5;1;73.77478486993199;2346
./Poly.v;StructuredTypeEvaluation;5;2;79.64967274967934;2358
./Poly.v;StructuredTypeEvaluation;5;5;81.02967996975421;2345
./Poly.v;StructuredUnification;1;1;51.73021498925095;2396
./Poly.v;StructuredUnification;1;2;68.08423932756013;2382
./Poly.v;StructuredUnification;1;5;78.03578118905928;2379
./Poly.v;StructuredUnification;2;1;62.46563850296953;2398
./Poly.v;StructuredUnification;2;2;74.7829070274542;2375
./Poly.v;StructuredUnification;2;5;80.07681784160727;2342
./Poly.v;StructuredUnification;5;1;73.77478486993199;2354
./Poly.v;StructuredUnification;5;2;79.64967274967934;2350
./Poly.v;StructuredUnification;5;5;81.02967996975421;2338
./Poly.v;StructuredSplitUnification;1;1;51.73021498925095;2334
./Poly.v;StructuredSplitUnification;1;2;68.08423932756013;2343
./Poly.v;StructuredSplitUnification;1;5;78.03578118905928;2316
./Poly.v;StructuredSplitUnification;2;1;62.46563850296953;2372
./Poly.v;StructuredSplitUnification;2;2;74.7829070274542;2335
./Poly.v;StructuredSplitUnification;2;5;80.07681784160727;2322
./Poly.v;StructuredSplitUnification;5;1;73.77478486993199;2386
./Poly.v;StructuredSplitUnification;5;2;79.64967274967934;2341
./Poly.v;StructuredSplitUnification;5;5;81.02967996975421;2416
./Poly.v;StructuredTypeEvaluation;10;10;81.02967996975421;2319
./Poly.v;Basic;0;0;53.05107904275119;2321
./Poly.v;SimpleUnification;0;0;85.66687120700708;2405
./Poly.v;SimpleSplitUnification;0;0;85.66687120700708;2371
./Poly.v;SplitTypeUnification;0;0;85.66687120700708;2554
./Poly.v;SplitTypeSplitUnification;0;0;85.66687120700708;2551
./Poly.v;Shuffle;0;0;56.81703937671807;2331
./Poly.v;ShuffleUnification;0;0;56.81703937671807;2341
./Poly.v;ShuffleSplitUnification;0;0;56.81703937671807;2382
