File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Postscript.v;StructuredUnification;1;1;NaN;18
./Postscript.v;StructuredUnification;1;2;NaN;18
./Postscript.v;StructuredUnification;1;5;NaN;20
./Postscript.v;StructuredUnification;2;1;NaN;18
./Postscript.v;StructuredUnification;2;2;NaN;17
./Postscript.v;StructuredUnification;2;5;NaN;18
./Postscript.v;StructuredUnification;5;1;NaN;24
./Postscript.v;StructuredUnification;5;2;NaN;20
./Postscript.v;StructuredUnification;5;5;NaN;23
./Postscript.v;StructuredSplitUnification;1;1;NaN;27
./Postscript.v;StructuredSplitUnification;1;2;NaN;24
./Postscript.v;StructuredSplitUnification;1;5;NaN;22
./Postscript.v;StructuredSplitUnification;2;1;NaN;24
./Postscript.v;StructuredSplitUnification;2;2;NaN;25
./Postscript.v;StructuredSplitUnification;2;5;NaN;18
./Postscript.v;StructuredSplitUnification;5;1;NaN;19
./Postscript.v;StructuredSplitUnification;5;2;NaN;25
./Postscript.v;StructuredSplitUnification;5;5;NaN;21
./Postscript.v;SimpleUnification;0;0;NaN;24
./Postscript.v;SimpleSplitUnification;0;0;NaN;23
./Postscript.v;SplitTypeUnification;0;0;NaN;30
./Postscript.v;SplitTypeSplitUnification;0;0;NaN;44
