File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Preface.v;SimpleTypeIntersection;0;0;NaN;27
./Preface.v;SplitTypeIntersection;0;0;NaN;25
./Preface.v;StructuredTypeEvaluation;1;1;NaN;21
./Preface.v;StructuredTypeEvaluation;1;2;NaN;20
./Preface.v;StructuredTypeEvaluation;1;5;NaN;19
./Preface.v;StructuredTypeEvaluation;2;1;NaN;28
./Preface.v;StructuredTypeEvaluation;2;2;NaN;28
./Preface.v;StructuredTypeEvaluation;2;5;NaN;25
./Preface.v;StructuredTypeEvaluation;5;1;NaN;23
./Preface.v;StructuredTypeEvaluation;5;2;NaN;19
./Preface.v;StructuredTypeEvaluation;5;5;NaN;18
./Preface.v;StructuredUnification;1;1;NaN;18
./Preface.v;StructuredUnification;1;2;NaN;19
./Preface.v;StructuredUnification;1;5;NaN;23
./Preface.v;StructuredUnification;2;1;NaN;25
./Preface.v;StructuredUnification;2;2;NaN;25
./Preface.v;StructuredUnification;2;5;NaN;21
./Preface.v;StructuredUnification;5;1;NaN;20
./Preface.v;StructuredUnification;5;2;NaN;20
./Preface.v;StructuredUnification;5;5;NaN;20
./Preface.v;StructuredSplitUnification;1;1;NaN;22
./Preface.v;StructuredSplitUnification;1;2;NaN;25
./Preface.v;StructuredSplitUnification;1;5;NaN;24
./Preface.v;StructuredSplitUnification;2;1;NaN;25
./Preface.v;StructuredSplitUnification;2;2;NaN;20
./Preface.v;StructuredSplitUnification;2;5;NaN;19
./Preface.v;StructuredSplitUnification;5;1;NaN;18
./Preface.v;StructuredSplitUnification;5;2;NaN;19
./Preface.v;StructuredSplitUnification;5;5;NaN;21
./Preface.v;StructuredTypeEvaluation;10;10;NaN;22
./Preface.v;Basic;0;0;NaN;23
./Preface.v;SimpleUnification;0;0;NaN;20
./Preface.v;SimpleSplitUnification;0;0;NaN;20
./Preface.v;SplitTypeUnification;0;0;NaN;21
./Preface.v;SplitTypeSplitUnification;0;0;NaN;22
./Preface.v;Shuffle;0;0;NaN;25
./Preface.v;ShuffleUnification;0;0;NaN;29
./Preface.v;ShuffleSplitUnification;0;0;NaN;21
