File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./PrefaceTest.v;SimpleTypeIntersection;0;0;NaN;18
./PrefaceTest.v;SplitTypeIntersection;0;0;NaN;19
./PrefaceTest.v;StructuredTypeEvaluation;1;1;NaN;19
./PrefaceTest.v;StructuredTypeEvaluation;1;2;NaN;19
./PrefaceTest.v;StructuredTypeEvaluation;1;5;NaN;18
./PrefaceTest.v;StructuredTypeEvaluation;2;1;NaN;17
./PrefaceTest.v;StructuredTypeEvaluation;2;2;NaN;17
./PrefaceTest.v;StructuredTypeEvaluation;2;5;NaN;17
./PrefaceTest.v;StructuredTypeEvaluation;5;1;NaN;17
./PrefaceTest.v;StructuredTypeEvaluation;5;2;NaN;18
./PrefaceTest.v;StructuredTypeEvaluation;5;5;NaN;18
./PrefaceTest.v;StructuredUnification;1;1;NaN;17
./PrefaceTest.v;StructuredUnification;1;2;NaN;18
./PrefaceTest.v;StructuredUnification;1;5;NaN;18
./PrefaceTest.v;StructuredUnification;2;1;NaN;19
./PrefaceTest.v;StructuredUnification;2;2;NaN;18
./PrefaceTest.v;StructuredUnification;2;5;NaN;17
./PrefaceTest.v;StructuredUnification;5;1;NaN;18
./PrefaceTest.v;StructuredUnification;5;2;NaN;17
./PrefaceTest.v;StructuredUnification;5;5;NaN;17
./PrefaceTest.v;StructuredSplitUnification;1;1;NaN;18
./PrefaceTest.v;StructuredSplitUnification;1;2;NaN;17
./PrefaceTest.v;StructuredSplitUnification;1;5;NaN;17
./PrefaceTest.v;StructuredSplitUnification;2;1;NaN;18
./PrefaceTest.v;StructuredSplitUnification;2;2;NaN;18
./PrefaceTest.v;StructuredSplitUnification;2;5;NaN;18
./PrefaceTest.v;StructuredSplitUnification;5;1;NaN;18
./PrefaceTest.v;StructuredSplitUnification;5;2;NaN;20
./PrefaceTest.v;StructuredSplitUnification;5;5;NaN;20
./PrefaceTest.v;StructuredTypeEvaluation;10;10;NaN;20
./PrefaceTest.v;Basic;0;0;NaN;20
./PrefaceTest.v;SimpleUnification;0;0;NaN;19
./PrefaceTest.v;SimpleSplitUnification;0;0;NaN;19
./PrefaceTest.v;SplitTypeUnification;0;0;NaN;21
./PrefaceTest.v;SplitTypeSplitUnification;0;0;NaN;20
./PrefaceTest.v;Shuffle;0;0;NaN;19
./PrefaceTest.v;ShuffleUnification;0;0;NaN;19
./PrefaceTest.v;ShuffleSplitUnification;0;0;NaN;18
