File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./TacticsTest.v;StructuredUnification;1;1;NaN;26
./TacticsTest.v;StructuredUnification;1;2;NaN;28
./TacticsTest.v;StructuredUnification;1;5;NaN;24
./TacticsTest.v;StructuredUnification;2;1;NaN;26
./TacticsTest.v;StructuredUnification;2;2;NaN;27
./TacticsTest.v;StructuredUnification;2;5;NaN;31
./TacticsTest.v;StructuredUnification;5;1;NaN;20
./TacticsTest.v;StructuredUnification;5;2;NaN;19
./TacticsTest.v;StructuredUnification;5;5;NaN;19
./TacticsTest.v;StructuredSplitUnification;1;1;NaN;31
./TacticsTest.v;StructuredSplitUnification;1;2;NaN;26
./TacticsTest.v;StructuredSplitUnification;1;5;NaN;25
./TacticsTest.v;StructuredSplitUnification;2;1;NaN;25
./TacticsTest.v;StructuredSplitUnification;2;2;NaN;32
./TacticsTest.v;StructuredSplitUnification;2;5;NaN;24
./TacticsTest.v;StructuredSplitUnification;5;1;NaN;25
./TacticsTest.v;StructuredSplitUnification;5;2;NaN;23
./TacticsTest.v;StructuredSplitUnification;5;5;NaN;28
./TacticsTest.v;SimpleUnification;0;0;NaN;23
./TacticsTest.v;SimpleSplitUnification;0;0;NaN;25
./TacticsTest.v;SplitTypeUnification;0;0;NaN;20
./TacticsTest.v;SplitTypeSplitUnification;0;0;NaN;19
